,Time,humidity,temperature,vpp_sum1,vpp_sum2,delay_slow,delay_fast,Ch1_word,Ch2_word,Ch1_Amp,Ch2_Amp
0,2022/11/02 19:59:52,37.35504150390625,27.276687622070312,416568.0,1202121.0,3602.2859563802676,1730.8570533156603,3249456741842868.0,1620046156596012.0,13.6,14.6
1,2022/11/02 19:59:54,37.37945556640625,27.287368774414062,416568.0,1202121.0,3616.371344862393,1731.2824226192838,3249440289015532.0,1620037953889588.0,13.6,14.6
2,2022/11/02 19:59:56,37.41302490234375,27.2686767578125,416568.0,1202121.0,3576.584939343937,1723.4450960425947,3249422801782931.0,1620029235471029.0,13.6,14.6
3,2022/11/02 19:59:58,37.4114990234375,27.2686767578125,416568.0,1202121.0,3539.3314296763224,1710.3242909336295,3249408236391307.0,1620021973762813.0,13.6,14.6
4,2022/11/02 19:59:59,37.40692138671875,27.292709350585938,416568.0,1202121.0,3506.9396323082224,1699.3219195599563,3249396406829575.0,1620016076027425.0,13.6,14.6
5,2022/11/02 20:00:01,37.39776611328125,27.295379638671875,416568.0,1202121.0,3480.010460242092,1690.4151969232948,3249386956062495.0,1620011364261705.0,13.6,14.6
6,2022/11/02 20:00:03,37.4420166015625,27.308731079101562,416568.0,1202121.0,3454.331702148897,1684.9525455724374,3249379482924755.0,1620007638461045.0,13.6,14.6
7,2022/11/02 20:00:05,37.4237060546875,27.295379638671875,416568.0,1202121.0,3431.979452640593,1680.1712524507734,3249373895588357.0,1620004852843763.0,13.6,14.6
8,2022/11/02 20:00:06,37.45880126953125,27.284698486328125,416568.0,1202121.0,3415.7921523317946,1675.6322945762759,3249369949760443.0,1620002885615437.0,13.6,14.6
9,2022/11/02 20:00:08,37.45269775390625,27.327423095703125,416568.0,1202121.0,3405.2403357808316,1671.2621194935455,3249367192698315.0,1620001511057085.0,13.6,14.6
10,2022/11/02 20:00:10,37.4725341796875,27.292709350585938,416568.0,1202121.0,3399.183357974815,1669.5573576678707,3249365210542360.0,1620000522835240.0,13.6,14.6
11,2022/11/02 20:00:12,37.47711181640625,27.308731079101562,416568.0,1202121.0,3394.190128643085,1667.8359714107378,3249363673199806.0,1619999756379154.0,13.6,14.6
