,Time,set_temperature,temperature,param1,param2,param3,param4
0,2022/11/02 13:32:57,25.0,24.911019993849436,76.0,4.449000307528195,0.00011020501517080052,71.84284201842895
1,2022/11/02 13:32:58,25.0,24.911019993849436,24.0,4.449000307528195,0.005723431034649193,19.54762892461017
2,2022/11/02 13:33:00,25.0,24.99994974682602,0.0,0.002512658699060921,0.010140711837672975,0.011220021965640025
3,2022/11/02 13:33:01,25.0,24.911019993849436,24.0,4.449000307528195,0.012944112184951418,19.828876323212004
4,2022/11/02 13:33:02,25.0,24.99994974682602,0.0,0.002512658699060921,0.01295074068733222,0.010954466906540151
5,2022/11/02 13:33:03,25.0,25.088926772809714,-23.0,-4.446338640485692,0.00894499988138395,-19.383746084276954
6,2022/11/02 13:33:04,25.0,25.088926772809714,-24.0,-4.446338640485692,0.003343536051581153,-20.274389647325037
7,2022/11/02 13:33:05,25.0,25.088926772809714,-24.0,-4.446338640485692,-0.003457483244262588,-19.826599418621438
8,2022/11/02 13:33:06,25.0,24.99994974682602,0.0,0.002512658699060921,-0.006710824811463733,0.011209877711942921
9,2022/11/02 13:33:07,25.0,24.99994974682602,0.0,0.002512658699060921,-0.007910792213775015,0.011126852977713276
10,2022/11/02 13:33:08,25.0,24.99994974682602,0.0,0.002512658699060921,-0.007897959005941677,0.011110723363632167
11,2022/11/02 13:33:09,25.0,24.99994974682602,0.0,0.002512658699060921,-0.006286633580853402,0.011100541849700883
12,2022/11/02 13:33:10,25.0,24.99994974682602,0.0,0.002512658699060921,-0.005478099659979604,0.011033312323901671
13,2022/11/02 13:33:11,25.0,24.99994974682602,0.0,0.002512658699060921,-0.005482925017762659,0.011196420189856277
14,2022/11/02 13:33:12,25.0,24.99994974682602,0.0,0.002512658699060921,-0.005471676442655141,0.011021715801363765
15,2022/11/02 13:33:13,25.0,24.99994974682602,0.0,0.002512658699060921,-0.006267361578140266,0.011035103014676
16,2022/11/02 13:33:14,25.0,24.99994974682602,0.0,0.002512658699060921,-0.008268555777008836,0.010938265185349037
17,2022/11/02 13:33:15,25.0,24.99994974682602,0.0,0.002512658699060921,-0.011065495064869826,0.011085187918678067
18,2022/11/02 13:33:16,25.0,24.99994974682602,0.0,0.002512658699060921,-0.013143843163981475,0.011181096622078189
19,2022/11/02 13:33:17,25.0,25.088926772809714,-24.0,-4.446338640485692,-0.016376988001204754,-19.565242786178654
20,2022/11/02 13:33:18,25.0,24.99994974682602,0.0,0.002512658699060921,-0.01877599039786358,0.011407970678226721
21,2022/11/02 13:33:19,25.0,25.088926772809714,-23.0,-4.446338640485692,-0.0195835396840285,-19.344538664754992
22,2022/11/02 13:33:20,25.0,24.99994974682602,0.0,0.002512658699060921,-0.01917720839690618,0.011312699651786471
23,2022/11/02 13:33:21,25.0,24.99994974682602,0.0,0.002512658699060921,-0.02036567603273778,0.01121160690440483
24,2022/11/02 13:33:22,25.0,24.99994974682602,0.0,0.002512658699060921,-0.020766842510275316,0.011123975545815937
25,2022/11/02 13:33:23,25.0,24.99994974682602,0.0,0.002512658699060921,-0.02115161640166207,0.011236171217888157
26,2022/11/02 13:33:25,25.0,24.99994974682602,0.0,0.002512658699060921,-0.02074605224536178,0.011156890374395666
27,2022/11/02 13:33:26,25.0,25.088926772809714,-24.0,-4.446338640485692,-0.022738849012223113,-19.702909004140093
28,2022/11/02 13:33:27,25.0,24.99994974682602,0.0,0.002512658699060921,-0.0247393663722173,0.011152285919085304
29,2022/11/02 13:33:28,25.0,25.088926772809714,-24.0,-4.446338640485692,-0.02720945453358769,-19.753308348755652
30,2022/11/02 13:33:29,25.0,25.088926772809714,-24.0,-4.446338640485692,-0.0308204137304793,-19.552422332690682
31,2022/11/02 13:33:30,25.0,25.088926772809714,-24.0,-4.446338640485692,-0.03483261837781431,-19.73574892337552
32,2022/11/02 13:33:31,25.0,24.99994974682602,0.0,0.002512658699060921,-0.03561856257812831,0.010922847122704702
33,2022/11/02 13:33:32,25.0,24.99994974682602,0.0,0.002512658699060921,-0.03361130507677207,0.011175346279452218
34,2022/11/02 13:33:33,25.0,24.99994974682602,0.0,0.002512658699060921,-0.03120073946255487,0.011123271095461568
35,2022/11/02 13:33:34,25.0,24.99994974682602,0.0,0.002512658699060921,-0.030794425177692715,0.011105571758966055
36,2022/11/02 13:33:35,25.0,24.99994974682602,0.0,0.002512658699060921,-0.03158972666184338,0.011132847511058546
37,2022/11/02 13:33:36,25.0,24.99994974682602,0.0,0.002512658699060921,-0.03318720737027498,0.011111016211939863
38,2022/11/02 13:33:37,25.0,25.088926772809714,-24.0,-4.446338640485692,-0.0367774505028906,-20.013946915582707
39,2022/11/02 13:33:38,25.0,25.088926772809714,-24.0,-4.446338640485692,-0.03958799243828497,-19.810803345277307
40,2022/11/02 13:33:39,25.0,24.99994974682602,0.0,0.002512658699060921,-0.04119063060957626,0.010985754943195198
41,2022/11/02 13:33:40,25.0,24.99994974682602,0.0,0.002512658699060921,-0.04398668085240862,0.011145445292130204
42,2022/11/02 13:33:41,25.0,24.99994974682602,0.0,0.002512658699060921,-0.04517919048469161,0.011282301702812874
43,2022/11/02 13:33:42,25.0,24.99994974682602,0.0,0.002512658699060921,-0.04680020065601807,0.011197550330285036
44,2022/11/02 13:33:43,25.0,24.99994974682602,0.0,0.002512658699060921,-0.04760286192923797,0.011066040606604663
45,2022/11/02 13:33:44,25.0,24.99994974682602,0.0,0.002512658699060921,-0.04760141958972031,0.011214529855925531
46,2022/11/02 13:33:45,25.0,24.99994974682602,0.0,0.002512658699060921,-0.046791859621600145,0.011091195992534223
