,Time,humidity,temperature,vpp_sum1,vpp_sum2,delay_slow,delay_fast,Ch1_word,Ch2_word,Ch1_Amp,Ch2_Amp
0,2022/11/02 13:33:41,37.6312255859375,26.921539306640625,461097.0,1214408.0,3457.976715800095,1809.701088853736,3249499406507496.0,1620067427451864.0,13.6,14.6
1,2022/11/02 13:33:43,37.61444091796875,26.956253051757812,461097.0,1214408.0,3321.3131090306597,1854.6443531946247,3249500162840494.0,1620067804528546.0,13.6,14.6
2,2022/11/02 13:33:45,37.59918212890625,26.921539306640625,461097.0,1214408.0,3310.534917613913,1860.9204818490075,3249497618622267.0,1620066536085453.0,13.6,14.6
3,2022/11/02 13:33:46,37.55950927734375,26.934890747070312,461097.0,1214408.0,3312.298039702438,1853.4808904462266,3249494613496432.0,1620065037852688.0,13.6,14.6
4,2022/11/02 13:33:48,37.56866455078125,26.953582763671875,461097.0,1214408.0,3320.90457481369,1847.9936640272426,3249492154720709.0,1620063812007731.0,13.6,14.6
5,2022/11/02 13:33:50,37.5091552734375,26.93756103515625,461097.0,1214408.0,3325.7852465606884,1844.1578443301073,3249490098916780.0,1620062787068020.0,13.6,14.6
6,2022/11/02 13:33:52,37.50762939453125,26.961593627929688,461097.0,1214408.0,3331.596939427438,1841.3671892287953,3249488324808492.0,1620061902570228.0,13.6,14.6
7,2022/11/02 13:33:53,37.50152587890625,26.953582763671875,461097.0,1214408.0,3340.385624072457,1837.9643262110803,3249486755640833.0,1620061120247447.0,13.6,14.6
8,2022/11/02 13:33:55,37.4908447265625,26.964263916015625,461097.0,1214408.0,3345.6069981670266,1835.2667235822396,3249485436373205.0,1620060462514595.0,13.6,14.6
9,2022/11/02 13:33:57,37.50457763671875,27.006988525390625,461097.0,1214408.0,3352.331053198784,1833.797285541331,3249484315212735.0,1620059903549865.0,13.6,14.6
10,2022/11/02 13:33:58,37.48626708984375,26.964263916015625,461097.0,1214408.0,3350.4642940117524,1833.8109755069195,3249483301965101.0,1620059398386059.0,13.6,14.6
11,2022/11/02 13:34:00,37.47100830078125,27.006988525390625,461097.0,1214408.0,3348.4106662506015,1833.1629570685354,3249482287712208.0,1620058892721072.0,13.6,14.6
12,2022/11/02 13:34:02,37.4603271484375,26.996307373046875,461097.0,1214408.0,3349.375820921005,1831.767785832496,3249481321048283.0,1620058410781997.0,13.6,14.6
13,2022/11/02 13:34:04,37.47100830078125,27.03369140625,461097.0,1214408.0,3356.5298873280517,1829.12373287041,3249480456843395.0,1620057979924805.0,13.6,14.6
14,2022/11/02 13:34:06,37.43743896484375,27.025680541992188,461097.0,1214408.0,3357.8558341887224,1828.1661460501732,3249479786812767.0,1620057645874953.0,13.6,14.6
15,2022/11/02 13:34:07,37.43133544921875,27.04437255859375,461097.0,1214408.0,3357.6891905684706,1828.1963655128943,3249479187105853.0,1620057346885627.0,13.6,14.6
16,2022/11/02 13:34:09,37.41455078125,27.0123291015625,461097.0,1214408.0,3358.839372508308,1828.447252307973,3249478585179527.0,1620057046789793.0,13.6,14.6
17,2022/11/02 13:34:11,37.384033203125,27.03369140625,461097.0,1214408.0,3359.331025568773,1827.6584221179746,3249477964828542.0,1620056737508178.0,13.6,14.6
18,2022/11/02 13:34:12,37.41912841796875,27.076416015625,478535.0,1201467.0,3361.7167650372476,1827.8627068636943,3249477964828542.0,1620056737508178.0,13.6,14.6
19,2022/11/02 13:34:13,37.39013671875,27.060394287109375,480634.0,1201041.0,3361.8333202049457,1827.1720623811866,3249477964828542.0,1620056737508178.0,13.6,14.6
20,2022/11/02 13:34:15,37.3779296875,27.025680541992188,479423.0,1200193.0,3363.7564804719727,1827.9846526664928,3249476401152852.0,1620055957923468.0,13.6,14.6
21,2022/11/02 13:34:17,37.37030029296875,27.049713134765625,479423.0,1200193.0,3364.734909988501,1822.4525566290786,3249474041213486.0,1620054781354274.0,13.6,14.6
22,2022/11/02 13:34:18,37.3748779296875,27.049713134765625,479423.0,1200193.0,3368.160303070579,1820.2433559401043,3249473633903151.0,1620054578286009.0,13.6,14.6
23,2022/11/02 13:34:20,37.3504638671875,27.068405151367188,479423.0,1200193.0,3368.667228778677,1819.823540358107,3249473697359735.0,1620054609922865.0,13.6,14.6
24,2022/11/02 13:34:21,37.36724853515625,27.060394287109375,479423.0,1200193.0,3368.241289038188,1819.978521866683,3249473622343540.0,1620054572522860.0,13.6,14.6
25,2022/11/02 13:34:23,37.371826171875,27.04437255859375,479423.0,1200193.0,3369.104168610675,1820.1454691198505,3249473595807409.0,1620054559293031.0,13.6,14.6
